"Timestamp","Enter your age","... and gender","Give your assessment of your athleticism ","How many shots out of 50 do you think you would make?","How many you think you would make after one month of practicing every day for 15 minutes?"
"2025/03/13 1:14:27 PM GMT+2","24","Male","2","10","25"
"2025/03/13 1:14:53 PM GMT+2","21","Male","7","3","15"
"2025/03/13 1:14:57 PM GMT+2","28","Male","8","15","25"
"2025/03/13 1:15:02 PM GMT+2","39","Male","7","10","40"
"2025/03/13 1:15:07 PM GMT+2","31","Female","6","15","20"
"2025/03/13 1:15:23 PM GMT+2","24","Female","7","16","36"
"2025/03/13 1:15:34 PM GMT+2","26","Female","6","15","25"
"2025/03/13 1:15:38 PM GMT+2","36","Male","6","10","20"
"2025/03/13 1:15:42 PM GMT+2","29","Female","3","8","22"
"2025/03/13 1:16:05 PM GMT+2","27","Female","2","5","15"
"2025/03/13 1:16:17 PM GMT+2","30","Female","7","17","39"
"2025/03/13 1:16:20 PM GMT+2","23","Female","5","8","16"
"2025/03/13 1:16:21 PM GMT+2","27","Male","7","15","35"
"2025/03/13 1:16:24 PM GMT+2","23","Male","7","15","25"
"2025/03/13 1:16:36 PM GMT+2","40","Female","5","3","5"
"2025/03/13 1:16:36 PM GMT+2","27","Male","7","8","25"
"2025/03/13 1:16:38 PM GMT+2","23","Female","3","2","5"